"ID","REQ","AUTHOR","DATE","LANG","MSG","SCORE"
"1337756076679303176","Yo","Avatar Wan","Sat Dec 12 13:47:57 +0000 2020","en","lol Waynes catalog Worth mil lmaooo yo why did he do that","-1"
"1337756075815268355","Yo","Marshal Manson","Sat Dec 12 13:47:57 +0000 2020","en","YoWhats up with the aliens","-1"
"1337756075588788227","Yo","ali | #GrazieSeb #SebInGreen","Sat Dec 12 13:47:57 +0000 2020","en","yo ferrari which engine did yall put in sebs car today","-1"
"1337756072786980865","Yo","blows legs off to assert dominance","Sat Dec 12 13:47:56 +0000 2020","en","yo the zodiac letter is wild","-1"
"1337756069741940736","Yo","Don Ang","Sat Dec 12 13:47:55 +0000 2020","en","Man I slick dont even wanna drop yo shit niggawhat yall think I should do right now","-1"
"1337756066646515714","Yo","Ndombaldy🇳🇴","Sat Dec 12 13:47:55 +0000 2020","en","Yo follow back","-1"
"1337756065711050752","Yo","Bala Yogesh","Sat Dec 12 13:47:55 +0000 2020","en","That really sums up Vettels season isnt itHe gave it all but it wasnt just good enough whi","-1"
"1337756063676895232","Yo","kept.","Sat Dec 12 13:47:54 +0000 2020","en","Yo real af NOBODY NEEDS NOBODY","-1"
"1337756055229636608","Yo","🐚👒FireFox_365🤸🏽‍♂️🌷💍👑","Sat Dec 12 13:47:52 +0000 2020","en","If I pull up amp I dont feel the vibes ima leaving Ill give you yo front in back ion play about my safety amp energy FASHO","-1"
"1337756052016816128","Yo","Yells","Sat Dec 12 13:47:51 +0000 2020","en","where yo backbone nigga where yo code at","-1"
"1337756050825605120","Yo","gia","Sat Dec 12 13:47:51 +0000 2020","en","If yo girl in college u supposed to send her money every week","-1"
"1337756047109279748","Yo","Loftsedfaun ⭐️✨♐️","Sat Dec 12 13:47:50 +0000 2020","en","Yo SENDING ALL LOVE TO MY GAL SHES GOING LIVE IN MINS","-1"
"1337756045746302986","Yo","Official AD POLO","Sat Dec 12 13:47:50 +0000 2020","en","lol you and yo friends really nicc named me unk doe","-1"
"1337756045091852289","Yo","HAMADA, bubu🥺❤️","Sat Dec 12 13:47:50 +0000 2020","en","Hellooo oomfs can you help me for this one Hopefully I will able to achieve the goal on or before December thankyou s","-1"
"1337756376345546758","Yo","🧟‍♂️","Sat Dec 12 13:49:09 +0000 2020","en","Watch who you call yo homie","-1"
"1337756375720538114","Yo","Melvin Emory","Sat Dec 12 13:49:08 +0000 2020","en","","-1"
"1337756371496935426","Yo","akayla","Sat Dec 12 13:49:07 +0000 2020","en","Yo car might break down you might get fucked up you gone even fuck up a bag or ya heart gone get broke amp you might","-1"
"1337756365490536449","Yo","deng 🌵🌼🐑🐻","Sat Dec 12 13:49:06 +0000 2020","en","BREAKING DOWN YO","-1"
"1337756359937449985","Yo","DhirajjBhasin","Sat Dec 12 13:49:05 +0000 2020","en","How dare farmers eat pizza and get foot massages Thats something only bhakts are entitled to yo","-1"
"1337756356925861889","Yo","marymayowa12","Sat Dec 12 13:49:04 +0000 2020","en","Yo the engagements on Laycons promotional tweets are actually crazy oo","-1"
"1337756355919167488","Yo","k","Sat Dec 12 13:49:04 +0000 2020","en","Yall yawties n niggas gotta relax shit aint full summary of Working on part II Will be including and famo","-1"
"1337756349954920449","Yo","$","Sat Dec 12 13:49:02 +0000 2020","en","i naturally talk aggressive either talk yo shit back or get yo soft ass on","-1"
"1337756347102879746","Yo","Ken Marino™⭕️","Sat Dec 12 13:49:02 +0000 2020","en","Kill yo self","-1"
"1337756347090280450","Yo","dilly🤝","Sat Dec 12 13:49:02 +0000 2020","en","Introducing yo college friends to yo at home friends is like watching cross over episodes","-1"
